state,nonmonetary_separation_quality_percent,nonmonetary_nonseparation_quality_percent,start_date,end_date,md_fy_num,md_fy_str
US,76,86.6,2019-07-01,2019-09-30,2019,2019-2020
UT,98,95.8,2019-07-01,2019-09-30,2019,2019-2020
VA,50,83.3,2019-07-01,2019-09-30,2019,2019-2020
VI,,,2019-07-01,2019-09-30,2019,2019-2020
VT,66.7,78.6,2019-07-01,2019-09-30,2019,2019-2020
WA,84,88.4,2019-07-01,2019-09-30,2019,2019-2020
WI,75.5,85.1,2019-07-01,2019-09-30,2019,2019-2020
WV,80,96.7,2019-07-01,2019-09-30,2019,2019-2020
WY,93.3,100,2019-07-01,2019-09-30,2019,2019-2020
AK,86.7,90.5,2019-10-01,2019-12-31,2019,2019-2020
AL,76.7,93.1,2019-10-01,2019-12-31,2019,2019-2020
AR,83.9,89.7,2019-10-01,2019-12-31,2019,2019-2020
AZ,68.1,69.6,2019-10-01,2019-12-31,2019,2019-2020
CA,79.2,86.8,2019-10-01,2019-12-31,2019,2019-2020
CO,91.7,79.6,2019-10-01,2019-12-31,2019,2019-2020
CT,63.3,93.6,2019-10-01,2019-12-31,2019,2019-2020
DC,80,88,2019-10-01,2019-12-31,2019,2019-2020
DE,82.8,80,2019-10-01,2019-12-31,2019,2019-2020
FL,32.7,76.6,2019-10-01,2019-12-31,2019,2019-2020
GA,66,64.6,2019-10-01,2019-12-31,2019,2019-2020
HI,90,96.7,2019-10-01,2019-12-31,2019,2019-2020
IA,58.6,83.9,2019-10-01,2019-12-31,2019,2019-2020
ID,100,92.3,2019-10-01,2019-12-31,2019,2019-2020
IL,85.7,90.7,2019-10-01,2019-12-31,2019,2019-2020
IN,67.4,85.4,2019-10-01,2019-12-31,2019,2019-2020
KS,83.3,80,2019-10-01,2019-12-31,2019,2019-2020
KY,70,72.4,2019-10-01,2019-12-31,2019,2019-2020
LA,80,93.1,2019-10-01,2019-12-31,2019,2019-2020
MA,59.2,72,2019-10-01,2019-12-31,2019,2019-2020
MD,87.2,98,2019-10-01,2019-12-31,2019,2019-2020
ME,96.7,86.7,2019-10-01,2019-12-31,2019,2019-2020
MI,85.7,97,2019-10-01,2019-12-31,2019,2019-2020
MN,84,90.9,2019-10-01,2019-12-31,2019,2019-2020
MO,81.6,97.8,2019-10-01,2019-12-31,2019,2019-2020
MS,92.9,100,2019-10-01,2019-12-31,2019,2019-2020
MT,86.2,92.9,2019-10-01,2019-12-31,2019,2019-2020
NC,86.7,80.8,2019-10-01,2019-12-31,2019,2019-2020
ND,93.1,100,2019-10-01,2019-12-31,2019,2019-2020
NE,65.5,90,2019-10-01,2019-12-31,2019,2019-2020
NH,89.3,79.3,2019-10-01,2019-12-31,2019,2019-2020
NJ,55.1,72.9,2019-10-01,2019-12-31,2019,2019-2020
NM,63.3,69,2019-10-01,2019-12-31,2019,2019-2020
NV,93.1,96.7,2019-10-01,2019-12-31,2019,2019-2020
NY,91.7,87.2,2019-10-01,2019-12-31,2019,2019-2020
OH,73.5,81.8,2019-10-01,2019-12-31,2019,2019-2020
OK,90,100,2019-10-01,2019-12-31,2019,2019-2020
OR,82,95.7,2019-10-01,2019-12-31,2019,2019-2020
PA,62.5,93.2,2019-10-01,2019-12-31,2019,2019-2020
PR,33.3,82.8,2019-10-01,2019-12-31,2019,2019-2020
RI,75.9,96.6,2019-10-01,2019-12-31,2019,2019-2020
SC,75.5,97.6,2019-10-01,2019-12-31,2019,2019-2020
SD,93.3,86.7,2019-10-01,2019-12-31,2019,2019-2020
TN,46.7,66.7,2019-10-01,2019-12-31,2019,2019-2020
TX,90,98,2019-10-01,2019-12-31,2019,2019-2020
US,76.8,88.8,2019-10-01,2019-12-31,2019,2019-2020
UT,100,93.9,2019-10-01,2019-12-31,2019,2019-2020
VA,56.7,86.7,2019-10-01,2019-12-31,2019,2019-2020
VI,,,2019-10-01,2019-12-31,2019,2019-2020
VT,60,75,2019-10-01,2019-12-31,2019,2019-2020
WA,75.5,93.6,2019-10-01,2019-12-31,2019,2019-2020
WI,75,81.3,2019-10-01,2019-12-31,2019,2019-2020
WV,93.3,96.7,2019-10-01,2019-12-31,2019,2019-2020
WY,90,93.3,2019-10-01,2019-12-31,2019,2019-2020
AK,,,2020-01-01,2020-03-31,2019,2019-2020
AL,,,2020-01-01,2020-03-31,2019,2019-2020
AR,,,2020-01-01,2020-03-31,2019,2019-2020
AZ,,,2020-01-01,2020-03-31,2019,2019-2020
CA,,,2020-01-01,2020-03-31,2019,2019-2020
CO,,,2020-01-01,2020-03-31,2019,2019-2020
CT,,,2020-01-01,2020-03-31,2019,2019-2020
DC,,,2020-01-01,2020-03-31,2019,2019-2020
DE,,,2020-01-01,2020-03-31,2019,2019-2020
FL,38,72.1,2020-01-01,2020-03-31,2019,2019-2020
GA,,,2020-01-01,2020-03-31,2019,2019-2020
HI,,,2020-01-01,2020-03-31,2019,2019-2020
IA,,,2020-01-01,2020-03-31,2019,2019-2020
ID,,,2020-01-01,2020-03-31,2019,2019-2020
IL,,,2020-01-01,2020-03-31,2019,2019-2020
IN,64.6,88,2020-01-01,2020-03-31,2019,2019-2020
KS,,,2020-01-01,2020-03-31,2019,2019-2020
KY,,,2020-01-01,2020-03-31,2019,2019-2020
LA,,,2020-01-01,2020-03-31,2019,2019-2020
MA,,,2020-01-01,2020-03-31,2019,2019-2020
MD,,,2020-01-01,2020-03-31,2019,2019-2020
ME,,,2020-01-01,2020-03-31,2019,2019-2020
MI,,,2020-01-01,2020-03-31,2019,2019-2020
MN,,,2020-01-01,2020-03-31,2019,2019-2020
MO,,,2020-01-01,2020-03-31,2019,2019-2020
MS,,,2020-01-01,2020-03-31,2019,2019-2020
MT,,,2020-01-01,2020-03-31,2019,2019-2020
NC,,,2020-01-01,2020-03-31,2019,2019-2020
ND,,,2020-01-01,2020-03-31,2019,2019-2020
NE,,,2020-01-01,2020-03-31,2019,2019-2020
NH,,,2020-01-01,2020-03-31,2019,2019-2020
NJ,,,2020-01-01,2020-03-31,2019,2019-2020
NM,,,2020-01-01,2020-03-31,2019,2019-2020
NV,,,2020-01-01,2020-03-31,2019,2019-2020
NY,82.4,87.5,2020-01-01,2020-03-31,2019,2019-2020
OH,,,2020-01-01,2020-03-31,2019,2019-2020
OK,,,2020-01-01,2020-03-31,2019,2019-2020
OR,,,2020-01-01,2020-03-31,2019,2019-2020
PA,84,83.3,2020-01-01,2020-03-31,2019,2019-2020
PR,,,2020-01-01,2020-03-31,2019,2019-2020
RI,,,2020-01-01,2020-03-31,2019,2019-2020
SC,,,2020-01-01,2020-03-31,2019,2019-2020
SD,,,2020-01-01,2020-03-31,2019,2019-2020
TN,,,2020-01-01,2020-03-31,2019,2019-2020
TX,,,2020-01-01,2020-03-31,2019,2019-2020
US,72,84.8,2020-01-01,2020-03-31,2019,2019-2020
UT,,,2020-01-01,2020-03-31,2019,2019-2020
VA,,,2020-01-01,2020-03-31,2019,2019-2020
VI,,,2020-01-01,2020-03-31,2019,2019-2020
VT,,,2020-01-01,2020-03-31,2019,2019-2020
WA,,,2020-01-01,2020-03-31,2019,2019-2020
WI,,,2020-01-01,2020-03-31,2019,2019-2020
WV,,,2020-01-01,2020-03-31,2019,2019-2020
WY,,,2020-01-01,2020-03-31,2019,2019-2020
AK,,,2020-04-01,2020-06-30,2019,2019-2020
AL,,,2020-04-01,2020-06-30,2019,2019-2020
AR,,,2020-04-01,2020-06-30,2019,2019-2020
AZ,,,2020-04-01,2020-06-30,2019,2019-2020
CA,,,2020-04-01,2020-06-30,2019,2019-2020
CO,,,2020-04-01,2020-06-30,2019,2019-2020
CT,,,2020-04-01,2020-06-30,2019,2019-2020
DC,,,2020-04-01,2020-06-30,2019,2019-2020
DE,,,2020-04-01,2020-06-30,2019,2019-2020
FL,,,2020-04-01,2020-06-30,2019,2019-2020
GA,,,2020-04-01,2020-06-30,2019,2019-2020
HI,,,2020-04-01,2020-06-30,2019,2019-2020
IA,,,2020-04-01,2020-06-30,2019,2019-2020
ID,,,2020-04-01,2020-06-30,2019,2019-2020
IL,93.8,81.6,2020-04-01,2020-06-30,2019,2019-2020
IN,15.2,44.9,2020-04-01,2020-06-30,2019,2019-2020
KS,,,2020-04-01,2020-06-30,2019,2019-2020
KY,,,2020-04-01,2020-06-30,2019,2019-2020
LA,,,2020-04-01,2020-06-30,2019,2019-2020
MA,,,2020-04-01,2020-06-30,2019,2019-2020
MD,,,2020-04-01,2020-06-30,2019,2019-2020
ME,,,2020-04-01,2020-06-30,2019,2019-2020
MI,,,2020-04-01,2020-06-30,2019,2019-2020
MN,,,2020-04-01,2020-06-30,2019,2019-2020
MO,,,2020-04-01,2020-06-30,2019,2019-2020
MS,,,2020-04-01,2020-06-30,2019,2019-2020
MT,,,2020-04-01,2020-06-30,2019,2019-2020
NC,,,2020-04-01,2020-06-30,2019,2019-2020
ND,,,2020-04-01,2020-06-30,2019,2019-2020
NE,,,2020-04-01,2020-06-30,2019,2019-2020
NH,,,2020-04-01,2020-06-30,2019,2019-2020
NJ,,,2020-04-01,2020-06-30,2019,2019-2020
NM,,,2020-04-01,2020-06-30,2019,2019-2020
NV,,,2020-04-01,2020-06-30,2019,2019-2020
NY,,,2020-04-01,2020-06-30,2019,2019-2020
OH,,,2020-04-01,2020-06-30,2019,2019-2020
OK,,,2020-04-01,2020-06-30,2019,2019-2020
OR,,,2020-04-01,2020-06-30,2019,2019-2020
PA,,,2020-04-01,2020-06-30,2019,2019-2020
PR,,,2020-04-01,2020-06-30,2019,2019-2020
RI,,,2020-04-01,2020-06-30,2019,2019-2020
SC,,,2020-04-01,2020-06-30,2019,2019-2020
SD,,,2020-04-01,2020-06-30,2019,2019-2020
TN,,,2020-04-01,2020-06-30,2019,2019-2020
TX,,,2020-04-01,2020-06-30,2019,2019-2020
US,62.8,55.9,2020-04-01,2020-06-30,2019,2019-2020
UT,,,2020-04-01,2020-06-30,2019,2019-2020
VA,,,2020-04-01,2020-06-30,2019,2019-2020
VI,,,2020-04-01,2020-06-30,2019,2019-2020
VT,,,2020-04-01,2020-06-30,2019,2019-2020
WA,,,2020-04-01,2020-06-30,2019,2019-2020
WI,,,2020-04-01,2020-06-30,2019,2019-2020
WV,,,2020-04-01,2020-06-30,2019,2019-2020
WY,,,2020-04-01,2020-06-30,2019,2019-2020
AK,90,89.3,2020-07-01,2020-09-30,2020,2020-2021
AL,60,76.7,2020-07-01,2020-09-30,2020,2020-2021
AR,70,75.9,2020-07-01,2020-09-30,2020,2020-2021
AZ,42.2,42.9,2020-07-01,2020-09-30,2020,2020-2021
CA,77.8,91.3,2020-07-01,2020-09-30,2020,2020-2021
CO,71.1,59.3,2020-07-01,2020-09-30,2020,2020-2021
CT,73.3,100,2020-07-01,2020-09-30,2020,2020-2021
DC,72.4,86.2,2020-07-01,2020-09-30,2020,2020-2021
DE,86.2,63,2020-07-01,2020-09-30,2020,2020-2021
FL,33.3,43.5,2020-07-01,2020-09-30,2020,2020-2021
GA,58,47.9,2020-07-01,2020-09-30,2020,2020-2021
HI,96.7,96.7,2020-07-01,2020-09-30,2020,2020-2021
IA,,,2020-07-01,2020-09-30,2020,2020-2021
ID,53.3,68,2020-07-01,2020-09-30,2020,2020-2021
IL,90,89.1,2020-07-01,2020-09-30,2020,2020-2021
IN,28.3,19.6,2020-07-01,2020-09-30,2020,2020-2021
KS,41.4,93.1,2020-07-01,2020-09-30,2020,2020-2021
KY,63,50,2020-07-01,2020-09-30,2020,2020-2021
LA,60,76.7,2020-07-01,2020-09-30,2020,2020-2021
MA,41.7,54.4,2020-07-01,2020-09-30,2020,2020-2021
MD,58.3,70,2020-07-01,2020-09-30,2020,2020-2021
ME,43.3,73.3,2020-07-01,2020-09-30,2020,2020-2021
MI,50,38.6,2020-07-01,2020-09-30,2020,2020-2021
MN,93.8,87.8,2020-07-01,2020-09-30,2020,2020-2021
MO,80,91.3,2020-07-01,2020-09-30,2020,2020-2021
MS,83.3,100,2020-07-01,2020-09-30,2020,2020-2021
MT,79.3,82.8,2020-07-01,2020-09-30,2020,2020-2021
NC,65.2,51.1,2020-07-01,2020-09-30,2020,2020-2021
ND,,,2020-07-01,2020-09-30,2020,2020-2021
NE,66.7,85.7,2020-07-01,2020-09-30,2020,2020-2021
NH,25.9,62.1,2020-07-01,2020-09-30,2020,2020-2021
NJ,38.8,85.4,2020-07-01,2020-09-30,2020,2020-2021
NM,43.3,80,2020-07-01,2020-09-30,2020,2020-2021
NV,90,89.7,2020-07-01,2020-09-30,2020,2020-2021
NY,63.8,68.8,2020-07-01,2020-09-30,2020,2020-2021
OH,56,62.8,2020-07-01,2020-09-30,2020,2020-2021
OK,90,85.7,2020-07-01,2020-09-30,2020,2020-2021
OR,67.9,88,2020-07-01,2020-09-30,2020,2020-2021
PA,50,65.2,2020-07-01,2020-09-30,2020,2020-2021
PR,42.3,43.8,2020-07-01,2020-09-30,2020,2020-2021
RI,48.2,93.3,2020-07-01,2020-09-30,2020,2020-2021
SC,27.1,51.7,2020-07-01,2020-09-30,2020,2020-2021
SD,82.8,85.7,2020-07-01,2020-09-30,2020,2020-2021
TN,47.1,50,2020-07-01,2020-09-30,2020,2020-2021
TX,64.6,56,2020-07-01,2020-09-30,2020,2020-2021
US,62.2,74.4,2020-07-01,2020-09-30,2020,2020-2021
UT,76,92,2020-07-01,2020-09-30,2020,2020-2021
VA,60.7,70,2020-07-01,2020-09-30,2020,2020-2021
VI,,,2020-07-01,2020-09-30,2020,2020-2021
VT,39.3,42.9,2020-07-01,2020-09-30,2020,2020-2021
WA,42.6,65.4,2020-07-01,2020-09-30,2020,2020-2021
WI,75.5,50,2020-07-01,2020-09-30,2020,2020-2021
WV,80,77.8,2020-07-01,2020-09-30,2020,2020-2021
WY,71.4,90,2020-07-01,2020-09-30,2020,2020-2021
AK,,,2020-10-01,2020-12-31,2020,2020-2021
AL,56.7,80,2020-10-01,2020-12-31,2020,2020-2021
AR,72.4,64.5,2020-10-01,2020-12-31,2020,2020-2021
AZ,,,2020-10-01,2020-12-31,2020,2020-2021
CA,,,2020-10-01,2020-12-31,2020,2020-2021
CO,,,2020-10-01,2020-12-31,2020,2020-2021
CT,93.3,96.6,2020-10-01,2020-12-31,2020,2020-2021
DC,,,2020-10-01,2020-12-31,2020,2020-2021
DE,57.1,62.5,2020-10-01,2020-12-31,2020,2020-2021
FL,,,2020-10-01,2020-12-31,2020,2020-2021
GA,52,62,2020-10-01,2020-12-31,2020,2020-2021
HI,,,2020-10-01,2020-12-31,2020,2020-2021
IA,44.8,50,2020-10-01,2020-12-31,2020,2020-2021
ID,,,2020-10-01,2020-12-31,2020,2020-2021
IL,90,100,2020-10-01,2020-12-31,2020,2020-2021
IN,,,2020-10-01,2020-12-31,2020,2020-2021
KS,66.7,92.6,2020-10-01,2020-12-31,2020,2020-2021
KY,55.2,53.9,2020-10-01,2020-12-31,2020,2020-2021
LA,,,2020-10-01,2020-12-31,2020,2020-2021
MA,,,2020-10-01,2020-12-31,2020,2020-2021
MD,,,2020-10-01,2020-12-31,2020,2020-2021
ME,53.3,60.7,2020-10-01,2020-12-31,2020,2020-2021
MI,81.8,82.2,2020-10-01,2020-12-31,2020,2020-2021
MN,85.4,91.5,2020-10-01,2020-12-31,2020,2020-2021
MO,,,2020-10-01,2020-12-31,2020,2020-2021
MS,,,2020-10-01,2020-12-31,2020,2020-2021
MT,,,2020-10-01,2020-12-31,2020,2020-2021
NC,,,2020-10-01,2020-12-31,2020,2020-2021
ND,100,100,2020-10-01,2020-12-31,2020,2020-2021
NE,73.7,70.4,2020-10-01,2020-12-31,2020,2020-2021
NH,,,2020-10-01,2020-12-31,2020,2020-2021
NJ,46.9,89.1,2020-10-01,2020-12-31,2020,2020-2021
NM,43.3,80,2020-10-01,2020-12-31,2020,2020-2021
NV,86.2,75.9,2020-10-01,2020-12-31,2020,2020-2021
NY,77.1,70.5,2020-10-01,2020-12-31,2020,2020-2021
OH,56,67.4,2020-10-01,2020-12-31,2020,2020-2021
OK,90,93.1,2020-10-01,2020-12-31,2020,2020-2021
OR,,,2020-10-01,2020-12-31,2020,2020-2021
PA,,,2020-10-01,2020-12-31,2020,2020-2021
PR,,,2020-10-01,2020-12-31,2020,2020-2021
RI,69,90,2020-10-01,2020-12-31,2020,2020-2021
SC,,,2020-10-01,2020-12-31,2020,2020-2021
SD,,,2020-10-01,2020-12-31,2020,2020-2021
TN,48.3,64,2020-10-01,2020-12-31,2020,2020-2021
TX,,,2020-10-01,2020-12-31,2020,2020-2021
US,67.1,76.5,2020-10-01,2020-12-31,2020,2020-2021
UT,,,2020-10-01,2020-12-31,2020,2020-2021
VA,63.3,92.3,2020-10-01,2020-12-31,2020,2020-2021
VI,,,2020-10-01,2020-12-31,2020,2020-2021
VT,17.2,20.7,2020-10-01,2020-12-31,2020,2020-2021
WA,,,2020-10-01,2020-12-31,2020,2020-2021
WI,,,2020-10-01,2020-12-31,2020,2020-2021
WV,,,2020-10-01,2020-12-31,2020,2020-2021
WY,88.9,86.2,2020-10-01,2020-12-31,2020,2020-2021
AK,90,100,2021-01-01,2021-03-31,2020,2020-2021
AL,,,2021-01-01,2021-03-31,2020,2020-2021
AR,63.3,75,2021-01-01,2021-03-31,2020,2020-2021
AZ,22.9,48.2,2021-01-01,2021-03-31,2020,2020-2021
CA,85.1,100,2021-01-01,2021-03-31,2020,2020-2021
CO,52.3,47.2,2021-01-01,2021-03-31,2020,2020-2021
CT,83.3,100,2021-01-01,2021-03-31,2020,2020-2021
DC,66.7,74.2,2021-01-01,2021-03-31,2020,2020-2021
DE,,,2021-01-01,2021-03-31,2020,2020-2021
FL,35.1,52.6,2021-01-01,2021-03-31,2020,2020-2021
GA,,,2021-01-01,2021-03-31,2020,2020-2021
HI,79.3,83.3,2021-01-01,2021-03-31,2020,2020-2021
IA,29.2,8.3,2021-01-01,2021-03-31,2020,2020-2021
ID,40,83.3,2021-01-01,2021-03-31,2020,2020-2021
IL,88,89.4,2021-01-01,2021-03-31,2020,2020-2021
IN,,,2021-01-01,2021-03-31,2020,2020-2021
KS,46,91.1,2021-01-01,2021-03-31,2020,2020-2021
KY,,,2021-01-01,2021-03-31,2020,2020-2021
LA,62.5,91.5,2021-01-01,2021-03-31,2020,2020-2021
MA,50,42.6,2021-01-01,2021-03-31,2020,2020-2021
MD,43.8,37.8,2021-01-01,2021-03-31,2020,2020-2021
ME,79.3,65,2021-01-01,2021-03-31,2020,2020-2021
MI,76.5,79.6,2021-01-01,2021-03-31,2020,2020-2021
MN,,,2021-01-01,2021-03-31,2020,2020-2021
MO,59.2,85.7,2021-01-01,2021-03-31,2020,2020-2021
MS,70.8,89.4,2021-01-01,2021-03-31,2020,2020-2021
MT,58.6,84.6,2021-01-01,2021-03-31,2020,2020-2021
NC,74.5,70.5,2021-01-01,2021-03-31,2020,2020-2021
ND,96.6,100,2021-01-01,2021-03-31,2020,2020-2021
NE,,,2021-01-01,2021-03-31,2020,2020-2021
NH,51.6,66.7,2021-01-01,2021-03-31,2020,2020-2021
NJ,,,2021-01-01,2021-03-31,2020,2020-2021
NM,,,2021-01-01,2021-03-31,2020,2020-2021
NV,,,2021-01-01,2021-03-31,2020,2020-2021
NY,75,83.7,2021-01-01,2021-03-31,2020,2020-2021
OH,,,2021-01-01,2021-03-31,2020,2020-2021
OK,56.7,100,2021-01-01,2021-03-31,2020,2020-2021
OR,22.5,70.5,2021-01-01,2021-03-31,2020,2020-2021
PA,45.8,45.8,2021-01-01,2021-03-31,2020,2020-2021
PR,58.6,21.7,2021-01-01,2021-03-31,2020,2020-2021
RI,48.3,93.3,2021-01-01,2021-03-31,2020,2020-2021
SC,40,92.1,2021-01-01,2021-03-31,2020,2020-2021
SD,90,83.3,2021-01-01,2021-03-31,2020,2020-2021
TN,,,2021-01-01,2021-03-31,2020,2020-2021
TX,65.3,88,2021-01-01,2021-03-31,2020,2020-2021
US,60,83.6,2021-01-01,2021-03-31,2020,2020-2021
UT,80.9,84.1,2021-01-01,2021-03-31,2020,2020-2021
VA,53.3,89.3,2021-01-01,2021-03-31,2020,2020-2021
VI,,,2021-01-01,2021-03-31,2020,2020-2021
VT,21.4,37.5,2021-01-01,2021-03-31,2020,2020-2021
WI,51.1,84.8,2021-01-01,2021-03-31,2020,2020-2021
WV,70,70,2021-01-01,2021-03-31,2020,2020-2021
WY,79.3,100,2021-01-01,2021-03-31,2020,2020-2021
AK,83.3,89.3,2021-04-01,2021-06-30,2020,2020-2021
AL,46,66,2021-04-01,2021-06-30,2020,2020-2021
AR,79.3,86.2,2021-04-01,2021-06-30,2020,2020-2021
AZ,20.9,53.6,2021-04-01,2021-06-30,2020,2020-2021
CA,70.2,74.1,2021-04-01,2021-06-30,2020,2020-2021
CO,32.4,41.9,2021-04-01,2021-06-30,2020,2020-2021
CT,90,100,2021-04-01,2021-06-30,2020,2020-2021
DC,61.3,53.6,2021-04-01,2021-06-30,2020,2020-2021
DE,23.3,15,2021-04-01,2021-06-30,2020,2020-2021
FL,38.5,25,2021-04-01,2021-06-30,2020,2020-2021
GA,74,49,2021-04-01,2021-06-30,2020,2020-2021
HI,81.5,75,2021-04-01,2021-06-30,2020,2020-2021
IA,31.6,55.6,2021-04-01,2021-06-30,2020,2020-2021
ID,28,85.4,2021-04-01,2021-06-30,2020,2020-2021
IL,92,88.6,2021-04-01,2021-06-30,2020,2020-2021
IN,,,2021-04-01,2021-06-30,2020,2020-2021
KS,71.4,82.9,2021-04-01,2021-06-30,2020,2020-2021
KY,53.3,60.7,2021-04-01,2021-06-30,2020,2020-2021
LA,36.2,70.7,2021-04-01,2021-06-30,2020,2020-2021
MA,66.7,54.4,2021-04-01,2021-06-30,2020,2020-2021
MD,55.6,68.9,2021-04-01,2021-06-30,2020,2020-2021
ME,58.6,76.9,2021-04-01,2021-06-30,2020,2020-2021
MI,73.7,80.9,2021-04-01,2021-06-30,2020,2020-2021
MN,79.6,84,2021-04-01,2021-06-30,2020,2020-2021
MO,65.3,84.8,2021-04-01,2021-06-30,2020,2020-2021
MS,72.9,91.3,2021-04-01,2021-06-30,2020,2020-2021
MT,89.7,82.1,2021-04-01,2021-06-30,2020,2020-2021
NC,76,81,2021-04-01,2021-06-30,2020,2020-2021
ND,93.3,93.1,2021-04-01,2021-06-30,2020,2020-2021
NE,42.3,66.7,2021-04-01,2021-06-30,2020,2020-2021
NH,53.6,67.7,2021-04-01,2021-06-30,2020,2020-2021
NJ,45.8,84.1,2021-04-01,2021-06-30,2020,2020-2021
NM,63.3,88.9,2021-04-01,2021-06-30,2020,2020-2021
NV,93.3,60.4,2021-04-01,2021-06-30,2020,2020-2021
NY,62.8,64.9,2021-04-01,2021-06-30,2020,2020-2021
OH,43.5,70,2021-04-01,2021-06-30,2020,2020-2021
OK,60,100,2021-04-01,2021-06-30,2020,2020-2021
OR,41.7,70.7,2021-04-01,2021-06-30,2020,2020-2021
PA,34,39,2021-04-01,2021-06-30,2020,2020-2021
PR,33.3,53.3,2021-04-01,2021-06-30,2020,2020-2021
RI,80,83.3,2021-04-01,2021-06-30,2020,2020-2021
SC,42.9,100,2021-04-01,2021-06-30,2020,2020-2021
SD,83.3,96.7,2021-04-01,2021-06-30,2020,2020-2021
TN,44.7,60.5,2021-04-01,2021-06-30,2020,2020-2021
TX,71.4,91.8,2021-04-01,2021-06-30,2020,2020-2021
US,61.6,81.2,2021-04-01,2021-06-30,2020,2020-2021
UT,82.6,89.8,2021-04-01,2021-06-30,2020,2020-2021
VA,24.1,86.2,2021-04-01,2021-06-30,2020,2020-2021
VI,,,2021-04-01,2021-06-30,2020,2020-2021
VT,30,72.4,2021-04-01,2021-06-30,2020,2020-2021
WA,58.3,76.7,2021-04-01,2021-06-30,2020,2020-2021
WI,54.4,87.2,2021-04-01,2021-06-30,2020,2020-2021
WV,83.3,79.3,2021-04-01,2021-06-30,2020,2020-2021
WY,80,100,2021-04-01,2021-06-30,2020,2020-2021
AK,86.7,75,2021-07-01,2021-09-30,2021,2021-2022
AL,44,52,2021-07-01,2021-09-30,2021,2021-2022
AR,65.5,82.1,2021-07-01,2021-09-30,2021,2021-2022
AZ,22.2,44.4,2021-07-01,2021-09-30,2021,2021-2022
CA,62.5,75,2021-07-01,2021-09-30,2021,2021-2022
CO,46.7,61.9,2021-07-01,2021-09-30,2021,2021-2022
